                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1275,                0.77328,                 1.3595,                0.80148,                0.83469,                0.84771,                0.47216,                 1.5732,                0.93619,                 1.7653,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0998,                  0.741,                 1.3223,                0.85838,                0.88698,                0.89957,                0.51941,                 1.4831,                0.77238,                 1.6753,               0.001307,               0.001307,               0.001307
                     37,                 1.1154,                0.74672,                 1.3296,                0.84859,                0.88096,                0.90786,                0.49866,                 1.5831,                0.75414,                  1.751,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1126,                0.74818,                 1.3262,                0.88938,                0.84978,                0.90524,                0.50131,                 1.5523,                0.77616,                 1.6961,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1011,                0.72125,                 1.3133,                0.90277,                0.77236,                0.84619,                0.48254,                 1.6242,                0.90251,                 1.8175,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0758,                0.71638,                 1.3165,                0.93009,                0.80488,                0.89987,                0.48829,                 1.6021,                0.79644,                 1.7655,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0414,                0.68938,                 1.2793,                0.80942,                0.86992,                0.88304,                0.52272,                 1.4774,                0.84207,                 1.7274,               0.001208,               0.001208,               0.001208
                     42,                   1.09,                0.70546,                 1.3189,                0.91179,                0.86992,                0.92004,                0.54141,                 1.4636,                0.70567,                 1.6625,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0781,                0.71718,                 1.3274,                 0.9145,                0.84061,                 0.8966,                0.53583,                  1.425,                0.75494,                 1.6499,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0475,                0.70554,                 1.2995,                0.87251,                0.79748,                0.87541,                0.50912,                 1.5089,                0.87318,                 1.7133,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0591,                0.70852,                 1.3011,                0.89363,                0.86179,                0.91468,                0.55963,                 1.3497,                0.70466,                 1.5675,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.044,                0.67771,                 1.2832,                0.91094,                0.85932,                0.92625,                0.54705,                 1.4307,                0.68336,                 1.6196,               0.001109,               0.001109,               0.001109
                     47,                 1.0415,                0.68771,                 1.2945,                0.89345,                0.86992,                 0.9047,                0.51779,                 1.4767,                0.77743,                 1.6787,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0218,                0.64637,                 1.2679,                0.93734,                0.85366,                0.92138,                0.51287,                 1.5168,                0.73961,                 1.6828,              0.0010694,              0.0010694,              0.0010694
                     49,                   1.01,                0.64335,                 1.2695,                0.86941,                0.86605,                0.90054,                0.52722,                 1.4851,                0.76855,                 1.6779,              0.0010496,              0.0010496,              0.0010496
                     50,                0.98802,                0.63396,                  1.253,                 0.9124,                0.87498,                0.92105,                0.54971,                 1.4688,                0.69353,                 1.6402,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0229,                0.64718,                 1.2662,                0.89248,                0.81572,                0.87954,                0.51493,                 1.5533,                0.80617,                 1.7387,                0.00101,                0.00101,                0.00101
                     52,                 1.0058,                0.64444,                 1.2644,                0.90458,                0.80488,                0.88818,                 0.5146,                 1.5473,                0.75765,                 1.7637,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0155,                0.64133,                 1.2676,                0.91458,                0.87263,                0.92125,                0.55852,                  1.392,                0.69884,                 1.6299,              0.0009704,              0.0009704,              0.0009704
                     54,                0.99964,                0.62135,                 1.2578,                0.91266,                0.85908,                0.92054,                0.54505,                 1.4613,                0.71339,                 1.6812,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.9911,                0.62403,                 1.2593,                0.87042,                0.85562,                0.90319,                0.52019,                 1.5942,                0.76938,                 1.8297,              0.0009308,              0.0009308,              0.0009308
                     56,                  1.014,                0.65316,                 1.2687,                0.89983,                0.85637,                 0.9072,                0.51936,                 1.5544,                 0.7537,                 1.7305,               0.000911,               0.000911,               0.000911
                     57,                0.98073,                0.62442,                 1.2401,                0.87006,                0.86721,                0.90459,                0.53903,                 1.5136,                0.75656,                 1.7434,              0.0008912,              0.0008912,              0.0008912
                     58,                0.98526,                0.62511,                 1.2457,                 0.9196,                0.82927,                0.89797,                0.51427,                 1.5683,                0.79455,                 1.7919,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.9713,                 0.5903,                 1.2321,                0.92504,                 0.8645,                 0.9176,                0.53459,                 1.4664,                0.67139,                 1.6584,              0.0008516,              0.0008516,              0.0008516
                     60,                0.97692,                0.61553,                 1.2431,                0.91109,                0.83308,                0.89232,                0.54314,                 1.4842,                0.73878,                 1.6852,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.9797,                0.60149,                 1.2327,                0.90638,                0.86578,                0.90993,                0.55171,                 1.3975,                0.70093,                 1.6005,               0.000812,               0.000812,               0.000812
                     62,                0.96929,                0.58917,                 1.2298,                0.92121,                0.86721,                0.91786,                0.55969,                 1.4218,                0.68809,                 1.6312,              0.0007922,              0.0007922,              0.0007922
                     63,                0.94555,                0.57185,                  1.207,                0.94808,                0.85095,                0.92346,                0.53438,                 1.4996,                0.70381,                 1.7052,              0.0007724,              0.0007724,              0.0007724
                     64,                0.94422,                0.58001,                 1.2215,                0.91903,                0.84824,                 0.9031,                0.53368,                 1.5231,                0.76753,                 1.7455,              0.0007526,              0.0007526,              0.0007526
                     65,                0.93056,                0.58115,                 1.2098,                0.92698,                0.87805,                0.93474,                0.55841,                 1.4768,                0.68644,                  1.675,              0.0007328,              0.0007328,              0.0007328
                     66,                0.93575,                0.57817,                  1.217,                 0.9171,                 0.8694,                0.92102,                0.56717,                 1.4405,                0.67101,                 1.6529,               0.000713,               0.000713,               0.000713
                     67,                0.93206,                0.57213,                 1.2227,                0.91121,                0.86217,                0.92224,                0.55763,                 1.4299,                0.70229,                 1.6407,              0.0006932,              0.0006932,              0.0006932
                     68,                0.91534,                0.56223,                 1.2053,                0.94227,                0.88468,                0.93666,                 0.5483,                 1.4904,                0.66156,                 1.6845,              0.0006734,              0.0006734,              0.0006734
                     69,                0.89588,                0.55764,                 1.2056,                0.92557,                0.90993,                0.94023,                0.56708,                 1.4232,                0.60702,                 1.6306,              0.0006536,              0.0006536,              0.0006536
                     70,                0.92203,                0.55322,                 1.2019,                0.91354,                0.85899,                0.91229,                0.55068,                 1.4593,                0.68321,                 1.6654,              0.0006338,              0.0006338,              0.0006338
                     71,                0.89203,                0.54304,                  1.187,                0.93889,                0.86721,                0.93036,                0.56248,                 1.4332,                0.67852,                  1.623,               0.000614,               0.000614,               0.000614
                     72,                0.89065,                0.55618,                 1.1959,                0.93774,                0.88347,                  0.934,                 0.5806,                  1.388,                0.64337,                 1.6353,              0.0005942,              0.0005942,              0.0005942
                     73,                  0.893,                 0.5358,                 1.1886,                0.95937,                0.88618,                0.93638,                0.55335,                 1.4271,                0.63826,                 1.6632,              0.0005744,              0.0005744,              0.0005744
                     74,                0.90007,                0.54041,                 1.2088,                0.93509,                0.85887,                 0.9267,                0.56287,                 1.4325,                0.70098,                 1.6458,              0.0005546,              0.0005546,              0.0005546
                     75,                0.88808,                0.52867,                 1.1912,                0.91974,                0.86953,                0.91228,                  0.571,                 1.4204,                 0.7335,                 1.6178,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.8824,                 0.5326,                 1.2033,                0.90238,                0.87534,                0.91841,                 0.5562,                 1.4295,                0.68475,                 1.6288,               0.000515,               0.000515,               0.000515
                     77,                0.88469,                 0.5324,                 1.1866,                0.96232,                0.89965,                 0.9452,                0.57498,                 1.4245,                 0.6369,                 1.6412,              0.0004952,              0.0004952,              0.0004952
                     78,                0.87142,                0.52811,                 1.1906,                0.93763,                0.87263,                0.92919,                0.54957,                 1.4958,                0.67003,                 1.7446,              0.0004754,              0.0004754,              0.0004754
                     79,                0.85142,                0.52562,                 1.1631,                0.95507,                0.87263,                0.92759,                0.54756,                 1.4436,                0.65463,                 1.6902,              0.0004556,              0.0004556,              0.0004556
                     80,                0.86831,                0.52759,                 1.1731,                0.92683,                0.86721,                 0.9168,                0.54885,                  1.482,                0.68493,                 1.7271,              0.0004358,              0.0004358,              0.0004358
                     81,                 0.8573,                 0.5266,                 1.1715,                 0.9381,                0.86253,                0.93343,                0.55742,                 1.4768,                0.66567,                 1.7342,               0.000416,               0.000416,               0.000416
                     82,                0.83736,                0.50297,                  1.161,                0.93669,                0.88347,                0.93342,                0.56145,                 1.4747,                0.65166,                 1.7032,              0.0003962,              0.0003962,              0.0003962
                     83,                0.84508,                0.50868,                 1.1691,                  0.939,                0.86179,                0.92107,                0.55339,                 1.4874,                0.67621,                 1.7317,              0.0003764,              0.0003764,              0.0003764
                     84,                0.83308,                0.50305,                 1.1563,                0.93402,                0.88242,                0.93016,                0.55123,                 1.4668,                0.64341,                 1.7164,              0.0003566,              0.0003566,              0.0003566
                     85,                0.81359,                0.49745,                 1.1491,                  0.919,                0.89167,                0.92526,                0.55054,                 1.4679,                0.65728,                 1.7344,              0.0003368,              0.0003368,              0.0003368
                     86,                0.82185,                0.48936,                 1.1554,                0.93371,                0.88889,                0.93662,                0.55648,                 1.4478,                0.62886,                 1.7333,               0.000317,               0.000317,               0.000317
                     87,                0.82809,                0.50518,                 1.1553,                0.93426,                0.88889,                0.93196,                0.55051,                 1.4677,                0.65385,                 1.7257,              0.0002972,              0.0002972,              0.0002972
                     88,                0.79749,                0.48658,                 1.1437,                0.94086,                0.87805,                0.93869,                0.56263,                 1.4315,                0.64025,                 1.6883,              0.0002774,              0.0002774,              0.0002774
                     89,                0.80385,                0.48019,                 1.1363,                0.94968,                0.86951,                0.93599,                0.55088,                 1.4308,                0.65184,                 1.7161,              0.0002576,              0.0002576,              0.0002576
                     90,                0.78459,                0.46927,                 1.1358,                0.94989,                0.87263,                0.93463,                 0.5548,                 1.4536,                0.65702,                 1.7328,              0.0002378,              0.0002378,              0.0002378
                     91,                0.66245,                0.37549,                 1.1005,                0.95218,                0.86343,                0.91197,                0.53802,                  1.453,                0.66676,                 1.7225,               0.000218,               0.000218,               0.000218
                     92,                0.63938,                0.34952,                 1.0837,                0.95072,                0.88873,                0.93232,                0.54743,                  1.452,                0.65665,                 1.7183,              0.0001982,              0.0001982,              0.0001982
                     93,                0.64334,                0.35177,                 1.0853,                 0.9642,                0.87577,                0.93802,                0.56406,                 1.4248,                0.67505,                 1.6896,              0.0001784,              0.0001784,              0.0001784
                     94,                0.62539,                 0.3361,                 1.0627,                0.93929,                0.88347,                0.92786,                0.56493,                 1.4339,                0.66023,                 1.7195,              0.0001586,              0.0001586,              0.0001586
                     95,                0.61921,                0.33648,                 1.0758,                 0.9445,                0.87625,                0.93373,                 0.5503,                  1.483,                0.70109,                 1.7915,              0.0001388,              0.0001388,              0.0001388
                     96,                0.61847,                 0.3283,                 1.0663,                0.92611,                0.88315,                0.93505,                0.56289,                 1.4461,                0.67717,                 1.7224,               0.000119,               0.000119,               0.000119
                     97,                0.60911,                0.32947,                 1.0638,                0.93803,                0.87805,                0.92373,                0.56378,                  1.436,                0.67653,                 1.7183,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.59767,                0.32409,                 1.0587,                 0.9294,                0.87263,                0.92744,                0.56138,                 1.4591,                0.70714,                 1.7545,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.58426,                0.31925,                 1.0506,                0.94616,                0.88347,                0.93606,                0.56889,                  1.443,                 0.6826,                 1.7302,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.60268,                0.33615,                 1.0594,                 0.9557,                0.88889,                0.93808,                0.56551,                 1.4459,                0.67544,                 1.7388,               3.98e-05,               3.98e-05,               3.98e-05
